,sign,category,text
0,aries,general,"If you strive to impress people in positions of power it won’t be long before you are on the way to the top as well. Let employers and senior colleagues know you are prepared to take on new responsibilities, then show them you’ve got what it takes."
1,taurus,general,"Don’t hold back today, make sure everyone knows what you think and how you feel. Whether or not they agree with your outlook on life is less important than that they can see you are serious about what you will and will not put up with."
2,gemini,general,"The planets warn you need to get to grips with a problem that has been dogging you for quite some time. Partnership issues could be especially challenging over the next few days, so stay cool and look for solutions that everyone can agree on."
3,cancer,general,"If there is something that has been bothering you then friends and family members will pick up on it quickly today. They know from past experience that your body language is a bit of a giveaway, and if they can find ways to help you they will."
4,leo,general,"A plan of some sort is not working out too well, so stand back from what you are doing and try to work out where it fits in the wider picture. Should you push on with it or give up on it? Ultimately, only you can make that decision."
5,virgo,general,The most important thing as the new week begins is that you don’t stick rigidly to one way of doing things. Be flexible and be ready to move in a new direction at a moment’s notice if the situation calls for it – and that may happen very soon.
6,libra,general,You are never afraid to admit that you made a mistake and that honesty will give you an edge over rivals who find it hard to accept less than perfection. While others are refusing to face reality you will be retracing your steps and putting things right.
7,scorpio,general,"It does not matter whether you can prove what you are doing is right, it matters only that you have faith in your aims and give 100 per cent both physically and mentally. You are blessed with what so many of your rivals lack – staying power."
8,sagittarius,general,It’s important to give your brain a rest now and again and as you have been doing so much thinking of late it might be an idea to start the week at a slower pace than normal. You don’t have to be the one who always leads the way.
9,capricorn,general,"The sun in the most sensitive area of your chart may be undermining your confidence a bit but that is not an excuse to give less than you usually do. The cosmic picture will change in your favor very soon, so keep believing and keep striving."
10,aquarius,general,"Make sure you are aware of what is going on in your immediate environment, because if you miss what friends and neighbours are up to you could find yourself playing catch up over the next few days. Take more of an interest in your surroundings."
11,pisces,general,You like to be helpful but the planets warn you must not do other people’s work for them today. There is no reason why your own plans should be put on hold just because friends and colleagues are unable to get their act together.
12,sagittarius,birthday,"Jupiter, your ruler, links with mind planet Mercury on your birthday, so ideas will come thick and fast, but as Mercury is going through its retrograde phase you MUST check facts and figures every step of the way. Wishful thinking alone won’t lead to success."
13,aries,general,It’s not like you to coast along with your brain in neutral but your head does seem to be someplace else at the moment. Make a conscious effort to focus on issues that are of some importance and leave the insignificant stuff to lesser minds.
14,taurus,general,"Make an effort to reflect on your options over the next 24 hours and then make a final decision about where to invest your time and energy. Opportunities to improve your professional standing will be coming your way very soon, so be ready for them."
15,gemini,general,"Some people love making a drama out of a crisis, but you are not some people so don’t get caught up in the raw emotions that are swirling about all over the place at the moment. Stay calm and strive to see the facts behind the frenzy."
16,cancer,general,"With Mars moving through the work area of your chart you don’t lack for energy, but are you making the best possible use of it? Stop rushing here, there and everywhere and look at your options in a little more depth over the next 24 hours."
17,leo,general,"You have never been the sort to lack confidence and you are not about to go weak at the knees just because you have been handed a challenge that will test you to the limit. On the contrary, you intend to show the world what you are made of."
18,virgo,general,Just because a task is tedious and time-consuming does not mean it is unimportant and you must go all out today to make the best possible job of what you have been entrusted to do. Your reputation for reliability is about to soar even higher.
19,libra,general,You need to get your act together and get down to the kind of serious work that even your rivals and enemies will praise you for. Most of all though you need to bear in mind at all times that principle will always be more important than profit.
20,scorpio,general,"You are about to get the chance to join with like-minded people and take part in something that not only makes you feel good about yourself but helps make the world a better place as well. Opportunities like this come rarely, so make the most of it."
21,sagittarius,general,"Good things come to those who wait, so be patient and don’t try to force an issue that will work itself out in the right way and at the right time. It won’t be easy for you to curb your enthusiasm but it will be profitable in the long-term."
22,capricorn,general,If there is something you should have finished by now then what occurs before the end of the week will help get it done. Then and only then will you be in a position to move on to the kind of ambitions that truly inspire you.
23,aquarius,general,The message of the stars today is that you need to get your act together before the sun changes signs on the 22nd. If you clear the decks today there will be fewer hold-ups later on when speed of action is not an option but a must.
24,pisces,general,You need to get over the idea that you must make plans that are both detailed and wide-ranging. In fact you need to get over the idea that you need to make plans at all. Take life as it comes and trust that the universe will guide you.
25,sagittarius,birthday,"The targets you set yourself for the coming year must be so far beyond what you have achieved already that even you start to doubt you can reach them. You won’t know what you can do until you try, so strive to fly higher than ever before."
26,aries,general,Your current schedule may be demanding but if you are smart you will keep at it and keep making an effort to get yourself noticed by those further up the chain of command. It won’t be long before you are giving orders rather than taking them.
27,taurus,general,"When the sun moves in your favour at the end of the week it will start to feel as if the world has suddenly become a brighter place, for you at least. Creative and social activities will be under excellent stars, so start making plans and make them big!"
28,gemini,general,"A partnership issue that got out of hand in recent weeks will resolve itself to everyone’s satisfaction over the next few days, so stop worrying about it. If others get worked up about trivial things that’s up to them but you don’t have to follow their example."
29,cancer,general,"The fact that you lost your temper once or twice in recent weeks may actually be a good thing in that it reminded those around you, at home and at work, that you must not be taken for granted. They will surely think twice before annoying you again."
30,leo,general,You will have your work cut out for you between now and the weekend but the more of an effort you make the more you will accomplish and the more people in positions of power will be impressed by your commitment. Hard work never hurt anyone.
31,virgo,general,The sun moves into the most positive area of your chart on Friday and already you can feel that the cosmic winds are moving in a more favourable direction. With the universe at your back there will be no limit to what you can accomplish.
32,libra,general,The most important thing today is that you make a conscious effort to rise above petty disputes. Let those you live and work with know that no matter how badly you may have fallen out in recent weeks you don’t harbor a grudge – and mean it.
33,scorpio,general,Over the next few days your way with words will open doors that were previously closed and locked to you. Communication won’t always come easy but the sun’s upcoming change of signs will both clarify your thoughts and loosen your tongue.
34,sagittarius,general,You may find it hard to keep cash in your pocket today but if you are going to spend it you might as well enjoy it. You may feel guilty when you realize how much you have splashed out on unnecessary trinkets but worry about that later on.
35,capricorn,general,"The sun enters your sign on Friday and a brand new solar year gets under way. Are you ready for it? Have you made your plans? Think of it as your personal new year, a time to make resolutions that you have every intention of keeping this time!"
36,aquarius,general,"Like everyone you have secrets that you would prefer not to be made public, so be careful what you say over the next 24 hours because if you drop so much as a hint someone is likely to pick up on it and start asking embarrassing questions."
37,pisces,general,"Don’t waste time trying to get other people to see things your way – instead, get them to think for themselves and come up with their own ideas and insights. Also, you don’t have to be everyone’s moral compass – being your own is enough."
38,sagittarius,birthday,Your self-belief will reach new heights over the coming year and if you couple it with the kind of serious aims that can make a difference in the world you will create something great. Not everyone can be special but you certainly can!
39,aries,general,"Your choices seem to be limited at the moment but that’s okay. It may, in fact, be a good thing in that it stops you from wasting time and energy on matters that, while interesting, are of only minor significance in the wider scheme of things."
40,taurus,general,Make sure the people you love most in the world are aware of how much you appreciate their efforts. Venus in the partnership area of your chart will make it easy for even the most tongue-tied Taurus to find just the right words of affection.
41,gemini,general,"The next few days are going to be some of the most hectic of the year, especially if you have fallen behind in your work and need to catch up quickly. It’s not just about speed though – the quality of your work is what will bring the most praise."
42,cancer,general,"Strive to see the bright side in each and every situation you encounter today, even if some of the people you have to deal with are glum in the extreme. Remember, it’s your attitude, not theirs, that determines what sort of day you are going to have."
43,leo,general,"Try not to snap at someone who does not think or act as fast as you. That’s probably just about everyone, so make allowances and look for ways to bring a smile to the faces of those who seem to have forgotten how to have fun."
44,virgo,general,"Yours is one of those signs that knows how to adapt to changing circumstances and that talent will come in handy today when the earth begins to shift beneath your feet. You’re not afraid to move with the times, which gives you a huge advantage."
45,libra,general,"There is a good cosmic reason why you don’t feel comfortable around certain people, so listen to what your instincts are telling you and keep some distance between you today. You may be sociable by nature but you don’t have to be friends with everyone."
46,scorpio,general,"Aim high, move fast and expect to reach whatever goal you are currently going for much sooner than anyone expected. You have all the skills you need to make a success of what you are doing, so go for it with 100 per cent conviction."
47,sagittarius,general,"It’s not like you to get emotional about other people’s woes but a friend’s tale of doom and disaster will touch you deeply today. After you’ve shed a tear or two, dry your eyes and find practical ways to assist them – because that’s what you are good at."
48,capricorn,general,You may have an endless supply of good ideas but how many of them are likely to move from the planning stage to the doing stage? Your task now is to identify those two or three ideas that have the potential to make you rich and famous.
49,aquarius,general,"Try not to take criticism personally today, especially if it comes from people you look up to on the work front or in the world at large. They truly want what is best for you and do not want to see you make the same mistakes that they made."
50,pisces,general,People who thought you were so laidback as to be almost comatose will be stunned by how quickly and confidently you act today. Whatever it is that has roused you to this level of effort you can and you must keep it going – forever if possible!
51,sagittarius,birthday,Don’t expect the year ahead to be more of the same as the previous year because your birthday chart indicates there are some major surprises on the horizon. What seems like an unsettling event at work could turn out to be the opportunity of a lifetime.
52,aries,general,"The sun’s change of signs today will encourage you to be more ambitious and also make you more visible to people in positions of power, so it is of the utmost importance that you show your best side. Don’t give rivals the chance to undermine your efforts."
53,taurus,general,What occurs today and over the weekend will reignite your interest in a subject that used to mean a lot to you but which for some reason has gone off the boil of late. Your searching and wandering could be about to pay off in a very big way.
54,gemini,general,"You must get serious about leading your best possible life and you must begin now. To start with, junk all those activities, and the people who go with them, that eat up time and energy for no good reason. You know what, and who, they are."
55,cancer,general,Relationships will be a source of joy over the next few weeks and there will be times when you wonder what you have done to deserve so many good people in your life. Most likely they wonder exactly the same sort of thing about you!
56,leo,general,"The whole wide world could disagree with you today and it would not worry you in the slightest. You are so sure that your way of looking at life is the right way that you won’t feel angry with those who disagree with you, just a bit sad."
57,virgo,general,Although a hectic phase is about to begin you have what it takes to meet it head on and make it work for you. As your creative juices begin to stir you will see patterns that other people have missed. Make that work to your advantage.
58,libra,general,"A family dispute can and must be resolved before the weekend. Most likely it is of such a minor nature that it should never have arisen in the first place, but the fact is it did and now you must bring it to a quick and happy conclusion."
59,scorpio,general,"You may not want to be the peacemaker in some kind of dispute but you know if you don’t get involved it could rumble on for days or even weeks. Use your powers of persuasion to help others see sense but, if that fails, try knocking some heads together!"
60,sagittarius,general,"Anyone who tries to play games with you today is going to regret it big time. You are simply not in the mood to tolerate stupid people and their stupid ideas, especially those that have no serious purpose and are unlikely to make you any serious money."
61,capricorn,general,"You won’t care what other people think, say or do today – you will care only for words and actions that benefit you personally. That might sound selfish but the sun’s move into your sign is a cosmic invitation to put your own needs first, middle and last."
62,aquarius,general,The message of the stars today is that you need to become more aware of both your physical and mental limits. If you push too far beyond those limits you risk damaging not only yourself but also the people you have been trying to help.
63,pisces,general,"Activities involving groups of people who share the same values and aims are under excellent stars, so get out into the world and make a difference. You may think you have enough friends already but you are about to add thousands more to the list!"
64,capricorn,birthday,Mercury’s influence on your birthday will encourage you to chase after your dreams but you need to be aware that not all those dreams will be good for you. Target only those objectives that you know in your heart the universe wants you to pursue.
65,aries,general,The only thing that can hold you back is if you allow other people’s negative outlook on life to get under your skin. Anyone in your social circle who is less than positive must be kept at arm’s length this weekend – you don’t need their harmful vibes.
66,taurus,general,"Have friends and family members been keeping things from you? Maybe. Does it matter? Not in the slightest. Ignore what everyone else may or may not be up to and focus entirely on your own needs and desires. In short, have a good time!"
67,gemini,general,"As Mercury moves back into the partnership area of your chart this weekend it should be easier to get your point across to friends and colleagues. On the other hand, there is no guarantee they will want to hear what you have to say."
68,cancer,general,"You don’t have to work twice as hard as colleagues and rivals to get yourself noticed by the powers that be. On the contrary, if you take your time and aim for quality work rather than quantity this weekend you are sure to make a good impression."
69,leo,general,You have never been one to make excuses for your behaviour and you are strongly advised not to start now. The more other people try to make you feel guilty this weekend the more you must celebrate what you have done. Own it and enjoy it.
70,virgo,general,Your nearest and dearest could be a bit miserable over the next 48 hours and if that happens there will be nothing you can say or do to snap them out of it. Let them brood on their own while you just get on with your life.
71,libra,general,"Make sure you know all the relevant facts and figures before offering an opinion this weekend, because if you say something without being able to prove it your rivals will come down on you like the proverbial ton of bricks. Value the truth above all else."
72,scorpio,general,"Your mind, which is usually razor-sharp, seems to be moving a touch slowly at the moment. Most likely it’s because Mercury is going through its retrograde phase, making your thoughts fuzzy and ill-defined. Give your brain cells a much-needed rest."
73,sagittarius,general,"If you have a clear idea of what it is you are hoping to achieve then no power on earth can stop you. If, however, you cannot choose between competing goals then no power on earth will bring success. You MUST get your head together this weekend."
74,capricorn,general,"If you find it difficult to perform this weekend you must take that as a message from the stars that you have been doing too much and are now so wired, both physically and mentally, that exhaustion is about to claim you. In a nutshell: slow down."
75,aquarius,general,Can you believe what other people are telling you? That depends on your ability to accept viewpoints that are radically different to your own. It’s not so much whether you CAN believe what they are telling you as whether you WANT to believe.
76,pisces,general,"As mind planet Mercury moves back into the career area of your chart this weekend you might want to look at your ambitions and ask yourself if they are as realistic as you thought they were. Give it some thought, then make the necessary adjustments."
77,capricorn,birthday,A change of direction in your life is clearly needed but what exactly does that mean? Your birthday chart indicates that over the next few months there will be some pretty obvious clues as to what you must do. Don’t even think of trying to ignore them.
78,aries,general,"Your ambitions may seem excessive to some but your courage and your confidence and your commitment to excellence will eventually bring the success you crave. However, having said that, remember you don’t have to push yourself hard 24 hours a day."
79,taurus,general,You will be inspired to do something out of the ordinary today and your taste for adventure could well take you off in a completely new direction. Life is short and you are determined to make the most of each and every moment.
80,gemini,general,"Let fate be your guide today and throughout the week. The current cosmic climate means you can have just about anything that your heart desires, but for best results don’t try too hard – allow the universe to show you the easiest way."
81,cancer,general,"Use your powers of persuasion to get people to do things for you over the next 24 hours. In your personal life especially a little bit of understanding will go a very long way, especially when combined with a large dose of flattery!"
82,leo,general,It is part of your nature to look at the bigger picture while letting others fret over the details but the message of the stars today is that you need to check the specifics before agreeing to get involved in something new. Don’t take trust too far.
83,virgo,general,As one of the zodiac’s Earth signs you don’t show your feelings often but when you do you go all the way and today’s Venus-Neptune link will heighten your affections to such an extent that others may wonder what’s come over you. Maybe it’s love!
84,libra,general,By all means indulge in a gentle daydream or two but don’t take it too far and replace facts with fantasy. Rational thinking is an absolute must if you are going to reach the goals you have set yourself between now and the early part of next year.
85,scorpio,general,"No matter what your head tries to tell you today you must follow your heart, even if you have no idea where it is going to lead you. This may be one of those rare and wonderful occasions when your inner eye can see what your physical eyes cannot."
86,sagittarius,general,Do a friend a good turn today but don’t go so far out of your way to help them that you risk harming your own interests in the process. Making sacrifices comes naturally to someone with your open heart but there must be limits.
87,capricorn,general,Someone whose approval means a lot to you does not like the company you have been keeping of late but you must make it clear to them that you choose your own friendships. If your trust is misplaced then it will be on your own head.
88,aquarius,general,"You often see things that other people miss and you will notice all sorts of strange patterns over the next 24 hours. No, you are not going mad, there really is a design behind what is going on in the world. Knowing that gives you a huge advantage."
89,pisces,general,If the people you work or do business with say nice things about you today don’t be suspicious – the planets indicate that they really do think you are doing a good job. Now aim even higher and strive to turn that good job into a great job!
90,capricorn,birthday,"Venus, planet of personal love, and Neptune, planet of universal love, join forces on your birthday and could well change the way you look at life. If you can move away from labelling people as either “good” or “bad” your world will be a better place for it."
91,aries,general,"Be smart and slow things down a bit today. The phrase “more haste, less speed” is tailor-made for your situation at the moment in that you seem to be buzzing here, there and everywhere without actually getting much done. Move less, accomplish more."
92,taurus,general,It is actually in your interests that you are being denied the one thing you want more than anything else. Looking back in a few days time you will realize that on this occasion a little of what you fancy could have done you a great deal of harm.
93,gemini,general,"A dispute over money will come to a head over the next two or three days and although it may not be a pleasant experience it will at least clear the air so you can start making plans again. This time, make them plans that involve other people."
