sign,category,date,text
aries,general,december-18-2023,"If you strive to impress people in positions of power it won’t be long before you are on the way to the top as well. Let employers and senior colleagues know you are prepared to take on new responsibilities, then show them you’ve got what it takes."
taurus,general,december-18-2023,"Don’t hold back today, make sure everyone knows what you think and how you feel. Whether or not they agree with your outlook on life is less important than that they can see you are serious about what you will and will not put up with."
gemini,general,december-18-2023,"The planets warn you need to get to grips with a problem that has been dogging you for quite some time. Partnership issues could be especially challenging over the next few days, so stay cool and look for solutions that everyone can agree on."
cancer,general,december-18-2023,"If there is something that has been bothering you then friends and family members will pick up on it quickly today. They know from past experience that your body language is a bit of a giveaway, and if they can find ways to help you they will."
leo,general,december-18-2023,"A plan of some sort is not working out too well, so stand back from what you are doing and try to work out where it fits in the wider picture. Should you push on with it or give up on it? Ultimately, only you can make that decision."
virgo,general,december-18-2023,The most important thing as the new week begins is that you don’t stick rigidly to one way of doing things. Be flexible and be ready to move in a new direction at a moment’s notice if the situation calls for it – and that may happen very soon.
libra,general,december-18-2023,You are never afraid to admit that you made a mistake and that honesty will give you an edge over rivals who find it hard to accept less than perfection. While others are refusing to face reality you will be retracing your steps and putting things right.
scorpio,general,december-18-2023,"It does not matter whether you can prove what you are doing is right, it matters only that you have faith in your aims and give 100 per cent both physically and mentally. You are blessed with what so many of your rivals lack – staying power."
sagittarius,general,december-18-2023,It’s important to give your brain a rest now and again and as you have been doing so much thinking of late it might be an idea to start the week at a slower pace than normal. You don’t have to be the one who always leads the way.
capricorn,general,december-18-2023,"The sun in the most sensitive area of your chart may be undermining your confidence a bit but that is not an excuse to give less than you usually do. The cosmic picture will change in your favor very soon, so keep believing and keep striving."
aquarius,general,december-18-2023,"Make sure you are aware of what is going on in your immediate environment, because if you miss what friends and neighbours are up to you could find yourself playing catch up over the next few days. Take more of an interest in your surroundings."
pisces,general,december-18-2023,You like to be helpful but the planets warn you must not do other people’s work for them today. There is no reason why your own plans should be put on hold just because friends and colleagues are unable to get their act together.
sagittarius,birthday,december-18-2023,"Jupiter, your ruler, links with mind planet Mercury on your birthday, so ideas will come thick and fast, but as Mercury is going through its retrograde phase you MUST check facts and figures every step of the way. Wishful thinking alone won’t lead to success."
aries,general,december-19-2023,It’s not like you to coast along with your brain in neutral but your head does seem to be someplace else at the moment. Make a conscious effort to focus on issues that are of some importance and leave the insignificant stuff to lesser minds.
taurus,general,december-19-2023,"Make an effort to reflect on your options over the next 24 hours and then make a final decision about where to invest your time and energy. Opportunities to improve your professional standing will be coming your way very soon, so be ready for them."
gemini,general,december-19-2023,"Some people love making a drama out of a crisis, but you are not some people so don’t get caught up in the raw emotions that are swirling about all over the place at the moment. Stay calm and strive to see the facts behind the frenzy."
cancer,general,december-19-2023,"With Mars moving through the work area of your chart you don’t lack for energy, but are you making the best possible use of it? Stop rushing here, there and everywhere and look at your options in a little more depth over the next 24 hours."
leo,general,december-19-2023,"You have never been the sort to lack confidence and you are not about to go weak at the knees just because you have been handed a challenge that will test you to the limit. On the contrary, you intend to show the world what you are made of."
virgo,general,december-19-2023,Just because a task is tedious and time-consuming does not mean it is unimportant and you must go all out today to make the best possible job of what you have been entrusted to do. Your reputation for reliability is about to soar even higher.
libra,general,december-19-2023,You need to get your act together and get down to the kind of serious work that even your rivals and enemies will praise you for. Most of all though you need to bear in mind at all times that principle will always be more important than profit.
scorpio,general,december-19-2023,"You are about to get the chance to join with like-minded people and take part in something that not only makes you feel good about yourself but helps make the world a better place as well. Opportunities like this come rarely, so make the most of it."
sagittarius,general,december-19-2023,"Good things come to those who wait, so be patient and don’t try to force an issue that will work itself out in the right way and at the right time. It won’t be easy for you to curb your enthusiasm but it will be profitable in the long-term."
capricorn,general,december-19-2023,If there is something you should have finished by now then what occurs before the end of the week will help get it done. Then and only then will you be in a position to move on to the kind of ambitions that truly inspire you.
aquarius,general,december-19-2023,The message of the stars today is that you need to get your act together before the sun changes signs on the 22nd. If you clear the decks today there will be fewer hold-ups later on when speed of action is not an option but a must.
pisces,general,december-19-2023,You need to get over the idea that you must make plans that are both detailed and wide-ranging. In fact you need to get over the idea that you need to make plans at all. Take life as it comes and trust that the universe will guide you.
sagittarius,birthday,december-19-2023,"The targets you set yourself for the coming year must be so far beyond what you have achieved already that even you start to doubt you can reach them. You won’t know what you can do until you try, so strive to fly higher than ever before."
aries,general,december-20-2023,Your current schedule may be demanding but if you are smart you will keep at it and keep making an effort to get yourself noticed by those further up the chain of command. It won’t be long before you are giving orders rather than taking them.
